target_name,s_ra,s_dec,dataset,MJD-OBS,em,coord_block,temp_block,cluster
K5-2MASS-16235565+2823024,245.9818243162235,28.38403740421891,JWST,60047.1190190875,3357.5,"(2459, 283)",8578,0
SMP-LMC-58,81.08652083333334,-70.08375555555557,JWST,60134.401302861,4433.0,"(810, -701)",8590,0
JWST-NEP-TDS-FIELD,260.69956666666667,65.82265,JWST,60092.00110450914,1550.0,"(2606, 658)",8584,0
UNKNOWN,188.858935557262,62.35781468414074,JWST,60727.871578014296,4433.0,"(1888, 623)",8675,0
P330-E,247.89081321789504,30.145951725919428,JWST,60733.39642271528,3560.0,"(2478, 301)",8676,0
UNKNOWN,189.2795823066886,62.221470825927234,JWST,60683.74113876701,4433.0,"(1892, 622)",8669,0
MIRI-6,214.97218333333333,52.92122777777777,JWST,60393.52299211227,10000.0,"(2149, 529)",8627,0
UNKNOWN,124.57058217809951,70.78107517868698,JWST,60686.87797831719,4433.0,"(1245, 707)",8669,0
WIDE2033,34.29951333333334,-5.228866666666647,JWST,60176.29476824467,2950.0,"(342, -53)",8596,0
UNKNOWN,189.14719649419115,62.3996243976539,JWST,60718.947520016605,4433.0,"(1891, 623)",8674,0
NAME-LMC,80.89417982084709,-69.75611056539934,JWST,60338.93416232777,25500.0,"(808, -698)",8619,0
WHL0137-MSA-OBS2,24.34723333333333,-8.444561111111113,JWST,59939.65465331991,2950.0,"(243, -85)",8562,0
grizli_v7.2.4_gaia_mom_pt1,34.29274208333333,-5.173791666666659,JWST,60671.1796142632,2950.0,"(342, -52)",8667,0
UNKNOWN,56.161773743459136,31.90044687307016,JWST,60351.94767346064,3985.0,"(561, 319)",8621,0
TM_M1149PAR_v10_fin,177.44882208333334,22.500002777777777,JWST,60446.28236315209,3330.0,"(1774, 225)",8635,0
2329+407,352.90091058203313,41.02453763946424,JWST,60265.26363598148,15000.0,"(3529, 410)",8609,0
MPTCAT-0628,110.82673916666668,-73.45374444444445,JWST,59760.42370609329,3330.0,"(1108, -735)",8537,0
P330E-OFFSET,247.8908200395036,30.1473673445129,JWST,59811.86782875648,1845.0,"(2478, 301)",8544,0
ECLIPTIC-RA80,124.1008916666667,19.23126111111111,JWST,59679.12256388831,3221.5000000000005,"(1241, 192)",8525,0
UNKNOWN,27.251382802744185,19.160161865976715,JWST,60527.89684093808,900.0,"(272, 191)",8646,0
UNKNOWN,0.0,0.0,JWST,60741.37175713472,1315.0,"(0, 0)",8677,0
2MASS-J10372186-6939563-OFFSET,159.3359166666667,-69.64983333333333,JWST,59630.43157143248,1600.0,"(1593, -697)",8518,0
UNKNOWN,16.016605091345507,-55.15317027067828,JWST,60161.30950340445,1147.5,"(160, -552)",8594,0
EGS_cat,214.928025,52.88223055555556,JWST,60751.195552621066,2800.0,"(2149, 528)",8678,0
