intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-3-1,105.39930851124356,82.64629462264915,image,"Ricker, George",3,58842.00250112,58868.3146998,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 80.51769200 75.77909200 28.30450000 83.76536200 181.31118600 83.66543900 129.12731700 75.28652400 80.51769200 75.77909200,,,PUBLIC,False,,27266918,70120115
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-3-2,163.87161882795826,75.5982992707787,image,"Ricker, George",3,58842.00221356,58868.31498939,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 129.68936900 75.21542100 181.61296200 83.50621900 190.31555200 71.39552600 158.88011900 67.59382400 129.68936900 75.21542100,,,PUBLIC,False,,27266919,70120116
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-3-3,215.7467059186807,76.77917558821865,image,"Ricker, George",3,58842.0011067,58868.31388081,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 224.89238700 69.06632400 191.15420100 71.41636600 184.01056500 83.56541300 254.62513400 77.59970700 224.89238700 69.06632400,,,PUBLIC,False,,27266920,70120117
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-3-4,283.65900157796534,85.33815321762772,image,"Ricker, George",3,58842.00139642,58868.31359352,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 255.23189300 77.69155700 183.59105500 83.72353100 26.04736400 83.81807400 314.17369400 78.18743000 255.23189300 77.69155700,,,PUBLIC,False,,27266921,70120118
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-4-1,285.1038291508298,73.47441760268279,image,"Ricker, George",3,58842.00031671,58868.31251538,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 313.30178300 77.95242700 301.53478700 66.96894200 270.16594400 66.67233600 254.84181600 77.71666800 313.30178300 77.95242700,,,PUBLIC,False,,27266922,70120119
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-4-2,248.24696196416437,69.29648731955898,image,"Ricker, George",3,58842.0000322,58868.31280811,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 254.14669600 77.64059200 269.75990100 66.63695800 245.05698700 60.90044400 225.30150900 68.89786800 254.14669600 77.64059200,,,PUBLIC,False,,27266923,70120120
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-4-3,261.88549197283527,58.758775936637754,image,"Ricker, George",3,58841.99881852,58868.31159433,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 256.90806700 51.13431300 245.41650000 60.67457400 269.96404400 66.34753000 275.61606500 54.77271900 256.90806700 51.13431300,,,PUBLIC,False,,27266924,70120121
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-4-4,285.99989611090456,61.43839606092175,image,"Ricker, George",3,58841.99910428,58868.31130315,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 275.89511000 54.80359200 270.35998800 66.39603300 301.37621700 66.69822200 296.58533700 55.44937700 275.89511000 54.80359200,,,PUBLIC,False,,27266925,70120122
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-1-1,153.42816649452197,36.677348803865,image,"Ricker, George",3,58869.94193569,58897.2755839,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 163.34837400 38.92081600 156.98095200 28.71330000 143.83692800 33.53443600 149.44021100 44.62617300 163.34837400 38.92081600,,,PUBLIC,False,,27307182,70200630
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-1-2,138.7023000729102,41.06463912691362,image,"Ricker, George",3,58869.94223986,58897.27529001,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 149.21294400 44.68519000 143.63965100 33.58271300 129.19950400 36.84295200 132.75669400 48.02808100 149.21294400 44.68519000,,,PUBLIC,False,,27307183,70200631
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-1-3,134.71242119907106,29.494953733011364,image,"Ricker, George",3,58869.94261275,58897.27566549,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 126.85496300 25.28160900 129.13435400 36.60321700 143.53115200 33.34106700 139.26491700 22.04242700 126.85496300 25.28160900,,,PUBLIC,False,,27307184,70200632
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-1-4,147.84589934878915,25.62945237693679,image,"Ricker, George",3,58869.94230965,58897.2759606,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 139.44394100 21.98691100 143.72457000 33.27988000 156.84573500 28.48338900 151.34990600 18.15546500 139.44394100 21.98691100,,,PUBLIC,False,,27307185,70200633
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-2-1,172.79262171760124,56.64296331150644,image,"Ricker, George",3,58869.94059791,58897.27423751,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 187.46953200 56.02065700 173.75739100 48.16410500 157.79285200 55.44750100 171.96864400 65.13544800 187.46953200 56.02065700,,,PUBLIC,False,,27307186,70200634
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-2-2,152.2959637382813,63.57472890248394,image,"Ricker, George",3,58869.94089719,58897.27393862,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 171.67703800 65.25864300 157.52925300 55.54808100 136.00603600 59.91783100 143.48188600 70.99901800 171.67703800 65.25864300,,,PUBLIC,False,,27307187,70200635
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-2-3,143.83180836727607,52.37960557835239,image,"Ricker, George",3,58869.94170735,58897.27475144,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 132.74774400 48.31468900 135.90482000 59.65039500 157.28890000 55.30359900 149.07649900 44.61676500 132.74774400 48.31468900,,,PUBLIC,False,,27307188,70200636
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-2-4,160.9570732496692,47.045660547893526,image,"Ricker, George",3,58869.94140824,58897.27505019,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 149.28847800 44.54757800 157.55262400 55.21635100 173.48197100 47.96746400 163.38024300 39.09554800 149.28847800 44.54757800,,,PUBLIC,False,,27307189,70200637
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-3-1,169.7511315960852,73.7199798763832,image,"Ricker, George",3,58869.93999065,58897.27302729,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 143.71299800 71.23434300 161.78552200 82.07471800 198.63692300 72.36959000 171.66904000 65.24473000 143.71299800 71.23434300,,,PUBLIC,False,,27307190,70200638
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-3-2,191.76412501035077,64.17617184037455,image,"Ricker, George",3,58869.93968664,58897.27332076,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 171.94565300 65.13546800 198.83365400 72.21767500 208.46210200 60.57986500 188.03289400 56.23719800 171.94565300 65.13546800,,,PUBLIC,False,,27307191,70200639
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-3-3,220.3162777560196,67.59397375759256,image,"Ricker, George",3,58869.9385823,58897.272209,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 232.78049600 61.42492000 208.98922400 60.64326400 199.67090000 72.32499300 240.22104000 72.90049100 232.78049600 61.42492000,,,PUBLIC,False,,27307192,70200640
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-3-4,217.52142999777686,79.81430226265232,image,"Ricker, George",3,58869.93888847,58897.27191784,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 240.33519700 73.05577100 199.42763900 72.47260800 162.70664700 82.29012900 270.68136600 83.53039800 240.33519700 73.05577100,,,PUBLIC,False,,27307193,70200641
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-4-1,270.47183612861215,75.13558179422951,image,"Ricker, George",3,58869.93781119,58897.27083656,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 272.04977300 83.28022900 301.00300600 73.08806700 270.00986900 66.69137600 240.06923800 73.01770300 272.04977300 83.28022900,,,PUBLIC,False,,27307194,70200642
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-4-2,249.33056497014007,65.04279782591121,image,"Ricker, George",3,58869.93751021,58897.27113319,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 239.87532900 72.86095600 269.68551800 66.58232400 253.90061100 56.83182000 233.18940900 61.31959800 239.87532900 72.86095600,,,PUBLIC,False,,27307195,70200643
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-4-3,269.9467570113634,57.929758150864835,image,"Ricker, George",3,58869.93629931,58897.26991584,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 269.76973300 49.79620900 254.34585100 56.68387800 270.23565600 66.36086100 285.64141000 56.90987500 269.76973300 49.79620900,,,PUBLIC,False,,27307196,70200644
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0021-4-4,290.95094403803023,65.13747552962165,image,"Ricker, George",3,58869.93660152,58897.26962079,1425.59939,600.0,1000.0,,58917.0,N/A,,21,POLYGON 285.89962900 56.99427900 270.52156600 66.48613600 301.26047200 72.82030300 307.34608800 61.57398100 285.89962900 56.99427900,,,PUBLIC,False,,27307197,70200645
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0022-1-1,181.73957313619175,25.46111370348876,image,"Ricker, George",3,58898.81693498,58925.98393605,1425.599393,600.0,1000.0,,58945.0,N/A,,22,POLYGON 190.56702500 27.45473100 184.58619300 17.37816400 172.92837400 22.85298200 178.82133900 33.57600900 190.56702500 27.45473100,,,PUBLIC,False,,27347166,70280581
